,DEPARTAMENTO,MUNICIPIO,ZONA,LATITUD,LONGITUD,RANGO
0,Antioquia,Amagá,4 Palos,6.03880857536,-75.7019460715,2.0
1,Antioquia,Peque,El Seno,7.02101791754,-75.9103455573,2.0
2,Santander,Bucaramanga,Honda de Palmas,7.11626727561,-73.1325981781,2.0
3,Antioquia,La Unión,Vereda las piedras,5.92955329158,-75.3345819959999,1.0
4,Santander,Bucaramanga,Sitio,7.11626727561,-73.1325981781,2.0
5,Risaralda,Dosquebradas,Acequia Planta Belmonte,4.82718783235,-75.6824691212,2.0
6,Quindío,La Tebaida,San José,4.45365041583,-75.7864601773,2.0
7,Nariño,San Lorenzo,Zona Rural,1.5033409866,-77.2152316532,2.0
8,Huila,La Argentina,I.P. El Pencil,2.19824625206,-75.9797684232,2.0
9,Caldas,Aguadas,V. Arma,5.61265250912,-75.5330810667,1.0
10,Huila,Pital,,2.26667937625,-75.8040049225,2.0
11,Huila,Pitalito,,1.85257835541,-76.0487449016,2.0
12,Huila,Tesalia,,2.48605026371,-75.7298401662,2.0
13,Tolima,Herveo,Carretera Fresno-Manizales km 24,5.08022752508,-75.1771510865,2.0
14,Boyacá,Soatá,,6.33191193659,-72.6840249822,2.0
15,Tolima,Líbano,,4.92344237437,-75.063420931,2.0
16,Nariño,Pasto,Carretera Panamericana,1.5,-78.0,3.0
17,Nariño,San Andrés De Tumaco,V. Panamericana,1.5,-78.0,3.0
18,Putumayo,,Carretera Panamericana,0.5,-76.0,3.0
19,Antioquia,Apartadó,B. Alfonso Lopez.,7.88341740579,-76.6259606537,2.0
20,Tolima,Anzoátegui,,4.62747361841,-75.096450741,2.0
21,Nariño,Pasto,km 22 V. Panamericana,1.5,-78.0,3.0
22,Cundinamarca,Nocaima,El Volador,5.06893301864,-74.3777279564,2.0
23,Bolívar,Morales,Ocaña,8.27630677134,-73.8681404847,2.0
24,Cundinamarca,Arbeláez,Paramillo,4.27248167219,-74.4148256203,2.0
25,Cundinamarca,El Peñón,,5.24914117123,-74.2912859352,2.0
26,Cundinamarca,La Palma,,5.35881671072,-74.3910201655,2.0
27,Cundinamarca,Yacopí,,5.45929034118,-74.3380243467,2.0
28,Antioquia,Medellín,Bs. Caicedo El Salado y Santa Cruz,7.0,-75.5,3.0
29,Caldas,Aranzazu,Carretera Neira-Aranzazu km 43,5.27114176848,-75.4912546148,2.0
30,Caldas,Manizales,V. Manizales-Fresno,5.05768819705,-75.4910489848,2.0
31,Tolima,Fresno,V. Manizales-Fresno,5.153638261,-75.0356271476,2.0
32,Casanare,Aguazul,Las Lajas (Unete inspección en Aguazul),5.17269076547,-72.5463002643,2.0
33,Boyacá,Paz De Río,Vda. Chitagoto,5.98764490579,-72.7491373831,2.0
34,Antioquia,Ituango,Carretera Medellín-Ituango,7.17162902996,-75.7646731654,2.0
35,Antioquia,Medellín,Carretera Medellín-Ituango,7.0,-75.5,3.0
36,Antioquia,Giraldo,Manglar,6.69050486211,-75.9463587004999,1.0
37,Cundinamarca,Bogota D.C.,entre Santa Lucía y Hoya Grande,5.0,-74.1666667,3.0
38,Cundinamarca,Facatativa,entre Santa Lucía y Hoya Grande,4.81306417837,-74.3502279311,2.0
39,Cundinamarca,Funza,entre Santa Lucía y Hoya Grande,4.7127630154,-74.2115250018,2.0
40,Cundinamarca,La Vega,entre Santa Lucía y Hoya Grande,4.99307703418,-74.3311382109,2.0
41,Antioquia,Caucasia,,7.97736233321,-75.1982903265,2.0
42,Antioquia,Valdivia,Carretera Troncal del Norte,7.16533999984,-75.4391984392,2.0
43,Quindío,Armenia,Sector La Línea,4.53598950231,-75.6807507586,2.0
44,Quindío,Calarcá,Sector La Línea,4.51528184598,-75.6490883624,2.0
45,Tolima,Cajamarca,Sector La Línea,4.43667276154,-75.4354852634,2.0
46,Risaralda,Pereira,Cra 2 con calle 19,4.80568026503,-75.7171230555,2.0
47,Nariño,El Tablón De Gómez,Carretera Cano-El Tablón,1.42705403082,-77.0967308309,2.0
48,Nariño,La Unión,CarreteraTaminango-La Unión,1.60026861271,-77.1311543535,2.0
49,,,,0.0,0.0,4.0
50,,,,0.0,0.0,4.0
51,,,,0.0,0.0,4.0
52,,,,0.0,0.0,4.0
53,,,,0.0,0.0,4.0
54,,,,0.0,0.0,4.0
55,,,,0.0,0.0,4.0
56,,,,0.0,0.0,4.0
57,,,,0.0,0.0,4.0
58,,,,0.0,0.0,4.0
59,,,,0.0,0.0,4.0
60,,,,0.0,0.0,4.0
61,,,,0.0,0.0,4.0
62,,,,0.0,0.0,4.0
63,,,,0.0,0.0,4.0
64,,,,0.0,0.0,4.0
65,,,,0.0,0.0,4.0
66,,,,0.0,0.0,4.0
67,,,,0.0,0.0,4.0
68,,,,0.0,0.0,4.0
69,,,,0.0,0.0,4.0
70,,,,0.0,0.0,4.0
71,,,,0.0,0.0,4.0
72,,,,0.0,0.0,4.0
73,,,,0.0,0.0,4.0
74,,,,0.0,0.0,4.0
75,,,,0.0,0.0,4.0
76,,,,0.0,0.0,4.0
77,,,,0.0,0.0,4.0
78,,,,0.0,0.0,4.0
79,,,,0.0,0.0,4.0
80,,,,0.0,0.0,4.0
81,,,,0.0,0.0,4.0
82,,,,0.0,0.0,4.0
83,,,,0.0,0.0,4.0
84,,,,0.0,0.0,4.0
85,,,,0.0,0.0,4.0
86,,,,0.0,0.0,4.0
87,,,,0.0,0.0,4.0
88,,,,0.0,0.0,4.0
89,,,,0.0,0.0,4.0
90,,,,0.0,0.0,4.0
91,,,,0.0,0.0,4.0
92,,,,0.0,0.0,4.0
93,,,,0.0,0.0,4.0
94,,,,0.0,0.0,4.0
95,,,,0.0,0.0,4.0
96,,,,0.0,0.0,4.0
97,,,,0.0,0.0,4.0
98,,,,0.0,0.0,4.0
99,,,,0.0,0.0,4.0
100,,,,0.0,0.0,4.0
101,,,,0.0,0.0,4.0
102,,,,0.0,0.0,4.0
103,,,,0.0,0.0,4.0
104,,,,0.0,0.0,4.0
105,,,,0.0,0.0,4.0
106,,,,0.0,0.0,4.0
107,,,,0.0,0.0,4.0
108,,,,0.0,0.0,4.0
109,,,,0.0,0.0,4.0
110,,,,0.0,0.0,4.0
111,,,,0.0,0.0,4.0
112,,,,0.0,0.0,4.0
113,,,,0.0,0.0,4.0
114,,,,0.0,0.0,4.0
115,,,,0.0,0.0,4.0
116,,,,0.0,0.0,4.0
117,,,,0.0,0.0,4.0
118,,,,0.0,0.0,4.0
